,Condition,Response,Correct_Response,Result,note_difference
0,0,2,2,correct,88.0
1,1,1,1,correct,88.0
2,1,1,1,correct,62.22539674441618
3,1,1,1,correct,62.22539674441618
4,0,2,2,correct,43.99999999999999
5,0,2,2,correct,43.99999999999999
6,1,1,1,correct,31.112698372208083
7,1,1,1,correct,31.112698372208083
8,0,2,2,correct,21.999999999999993
9,0,2,2,correct,21.999999999999993
10,1,1,1,correct,15.55634918610404
11,0,2,2,correct,15.55634918610404
12,0,2,2,correct,10.999999999999995
13,1,1,1,correct,10.999999999999995
14,0,1,2,wrong,7.778174593052018
15,0,2,2,correct,10.999999999999995
16,1,1,1,correct,10.999999999999995
17,1,1,1,correct,7.778174593052018
18,0,2,2,correct,7.778174593052018
19,0,2,2,correct,5.4999999999999964
20,1,1,1,correct,5.4999999999999964
21,1,1,1,correct,3.8890872965260086
22,1,1,1,correct,3.8890872965260086
23,1,1,1,correct,2.749999999999998
24,1,1,1,correct,2.749999999999998
25,0,1,2,wrong,1.944543648263004
26,0,1,2,wrong,2.749999999999998
27,1,1,1,correct,3.8890872965260086
28,0,1,2,wrong,3.8890872965260086
29,0,0,0,0.0,0.0
30,0,0,0,0.0,0.0
31,0,0,0,0.0,0.0
32,1,0,0,0.0,0.0
33,0,0,0,0.0,0.0
34,0,0,0,0.0,0.0
35,0,0,0,0.0,0.0
36,1,0,0,0.0,0.0
37,0,0,0,0.0,0.0
38,1,0,0,0.0,0.0
39,0,0,0,0.0,0.0
40,0,0,0,0.0,0.0
41,1,0,0,0.0,0.0
42,0,0,0,0.0,0.0
43,0,0,0,0.0,0.0
44,0,0,0,0.0,0.0
45,0,0,0,0.0,0.0
46,0,0,0,0.0,0.0
47,1,0,0,0.0,0.0
48,1,0,0,0.0,0.0
49,1,0,0,0.0,0.0
