,Condition,Response,Correct_Response,Result,note_difference
0,1,1,1,correct,44.0
1,0,2,2,correct,44.0
2,0,2,2,correct,31.11269837220809
3,0,2,2,correct,31.11269837220809
4,0,2,2,correct,21.999999999999996
5,1,1,1,correct,21.999999999999996
6,0,2,2,correct,15.556349186104041
7,0,2,2,correct,15.556349186104041
8,0,2,2,correct,10.999999999999996
9,1,1,1,correct,10.999999999999996
10,1,1,1,correct,7.77817459305202
11,1,1,1,correct,7.77817459305202
12,1,1,1,correct,5.499999999999997
13,0,2,2,correct,5.499999999999997
14,1,1,1,correct,3.889087296526009
15,0,2,2,correct,3.889087296526009
16,1,2,1,wrong,2.75
17,0,2,2,correct,3.889087296526009
18,0,2,2,correct,3.889087296526009
19,1,1,1,correct,2.7499999999999982
20,0,2,2,correct,2.7499999999999982
21,1,2,1,wrong,1.9445436482630043
22,0,2,2,correct,2.7499999999999982
23,0,2,2,correct,2.7499999999999982
24,1,1,1,correct,1.9445436482630043
25,0,2,2,correct,1.9445436482630043
26,1,1,1,correct,1.374999999999999
27,1,1,1,correct,1.374999999999999
28,1,1,1,correct,0.972271824131502
29,0,1,2,wrong,0.972271824131502
30,0,2,2,correct,1.374999999999999
31,1,1,1,correct,1.374999999999999
32,1,1,1,correct,0.972271824131502
33,1,1,1,correct,0.972271824131502
34,1,2,1,wrong,0.6875
35,1,0,0,0.0,0.0
36,0,0,0,0.0,0.0
37,0,0,0,0.0,0.0
38,0,0,0,0.0,0.0
39,0,0,0,0.0,0.0
40,0,0,0,0.0,0.0
41,0,0,0,0.0,0.0
42,1,0,0,0.0,0.0
43,1,0,0,0.0,0.0
44,1,0,0,0.0,0.0
45,1,0,0,0.0,0.0
46,1,0,0,0.0,0.0
47,1,0,0,0.0,0.0
48,1,0,0,0.0,0.0
49,0,0,0,0.0,0.0
