,Condition,Response,Correct_Response,Result,note_difference
0,1,1,1,correct,88.0
1,0,2,2,correct,88.0
2,0,2,2,correct,62.22539674441618
3,0,2,2,correct,62.22539674441618
4,0,2,2,correct,43.99999999999999
5,1,1,1,correct,43.99999999999999
6,0,2,2,correct,31.112698372208083
7,0,2,2,correct,31.112698372208083
8,0,2,2,correct,21.999999999999993
9,1,1,1,correct,21.999999999999993
10,1,1,1,correct,15.55634918610404
11,1,1,1,correct,15.55634918610404
12,1,1,1,correct,10.999999999999995
13,0,2,2,correct,10.999999999999995
14,1,1,1,correct,7.778174593052018
15,0,2,2,correct,7.778174593052018
16,1,1,1,correct,5.4999999999999964
17,0,1,2,wrong,5.4999999999999964
18,0,2,2,correct,7.778174593052018
19,1,1,1,correct,7.778174593052018
20,0,1,2,wrong,5.4999999999999964
21,1,1,1,correct,7.778174593052018
22,0,2,2,correct,7.778174593052018
23,0,1,2,wrong,5.4999999999999964
24,1,1,1,correct,7.778174593052018
25,0,2,2,correct,7.778174593052018
26,1,1,1,correct,5.4999999999999964
27,1,2,1,wrong,5.4999999999999964
28,1,0,0,0.0,0.0
29,0,0,0,0.0,0.0
30,0,0,0,0.0,0.0
31,1,0,0,0.0,0.0
32,1,0,0,0.0,0.0
33,1,0,0,0.0,0.0
34,1,0,0,0.0,0.0
35,1,0,0,0.0,0.0
36,0,0,0,0.0,0.0
37,0,0,0,0.0,0.0
38,0,0,0,0.0,0.0
39,0,0,0,0.0,0.0
40,0,0,0,0.0,0.0
41,0,0,0,0.0,0.0
42,1,0,0,0.0,0.0
43,1,0,0,0.0,0.0
44,1,0,0,0.0,0.0
45,1,0,0,0.0,0.0
46,1,0,0,0.0,0.0
47,1,0,0,0.0,0.0
48,1,0,0,0.0,0.0
49,0,0,0,0.0,0.0
