,Condition,Response,Correct_Response,Result,note_difference
0,1,1,1,correct,44.0
1,0,2,2,correct,44.0
2,0,2,2,correct,31.11269837220809
3,0,2,2,correct,31.11269837220809
4,0,1,2,wrong,21.999999999999996
5,1,1,1,correct,31.112698372208087
6,1,1,1,correct,31.112698372208087
7,1,2,1,wrong,21.999999999999996
8,0,2,2,correct,31.112698372208087
9,0,2,2,correct,31.112698372208087
10,0,1,2,wrong,21.999999999999996
11,0,2,2,correct,31.112698372208087
12,1,1,1,correct,31.112698372208087
13,0,2,2,correct,21.999999999999996
14,0,2,2,correct,21.999999999999996
15,0,1,2,wrong,15.5563491861
16,1,0,0,0.0,0.0
17,1,0,0,0.0,0.0
18,0,0,0,0.0,0.0
19,0,0,0,0.0,0.0
20,0,0,0,0.0,0.0
21,0,0,0,0.0,0.0
22,1,0,0,0.0,0.0
23,1,0,0,0.0,0.0
24,0,0,0,0.0,0.0
25,0,0,0,0.0,0.0
26,1,0,0,0.0,0.0
27,1,0,0,0.0,0.0
28,0,0,0,0.0,0.0
29,1,0,0,0.0,0.0
30,1,0,0,0.0,0.0
31,1,0,0,0.0,0.0
32,1,0,0,0.0,0.0
33,0,0,0,0.0,0.0
34,0,0,0,0.0,0.0
35,1,0,0,0.0,0.0
36,1,0,0,0.0,0.0
37,1,0,0,0.0,0.0
38,1,0,0,0.0,0.0
39,0,0,0,0.0,0.0
40,1,0,0,0.0,0.0
41,0,0,0,0.0,0.0
42,0,0,0,0.0,0.0
43,1,0,0,0.0,0.0
44,1,0,0,0.0,0.0
45,0,0,0,0.0,0.0
46,0,0,0,0.0,0.0
47,0,0,0,0.0,0.0
48,0,0,0,0.0,0.0
49,1,0,0,0.0,0.0
