,Condition,Response,Correct_Response,Result,note_difference
0,1,1,1,correct,176.0
1,0,2,2,correct,176.0
2,0,2,2,correct,124.45079348883236
3,0,2,2,correct,124.45079348883236
4,0,2,2,correct,87.99999999999999
5,1,1,1,correct,87.99999999999999
6,1,1,1,correct,62.225396744416166
7,1,1,1,correct,62.225396744416166
8,0,2,2,correct,43.999999999999986
9,0,2,2,correct,43.999999999999986
10,0,2,2,correct,31.11269837220808
11,0,2,2,correct,31.11269837220808
12,1,1,1,correct,21.99999999999999
13,0,2,2,correct,21.99999999999999
14,0,2,2,correct,15.556349186104036
15,0,1,2,wrong,15.556349186104036
16,1,1,1,correct,21.99999999999999
17,1,1,1,correct,21.99999999999999
18,0,2,2,correct,15.556349186104036
19,0,2,2,correct,15.556349186104036
20,0,2,2,correct,10.999999999999993
21,0,1,2,wrong,10.999999999999993
22,1,1,1,correct,15.556349186104036
23,1,1,1,correct,15.556349186104036
24,0,2,2,correct,10.999999999999993
25,0,2,2,correct,10.999999999999993
26,1,1,1,correct,7.778174593052017
27,1,1,1,correct,7.778174593052017
28,0,2,2,correct,5.499999999999996
29,1,1,1,correct,5.499999999999996
30,1,2,1,wrong,3.88908729653
31,1,2,1,wrong,5.499999999999996
32,1,0,0,0.0,0.0
33,0,0,0,0.0,0.0
34,0,0,0,0.0,0.0
35,1,0,0,0.0,0.0
36,1,0,0,0.0,0.0
37,1,0,0,0.0,0.0
38,1,0,0,0.0,0.0
39,0,0,0,0.0,0.0
40,1,0,0,0.0,0.0
41,0,0,0,0.0,0.0
42,0,0,0,0.0,0.0
43,1,0,0,0.0,0.0
44,1,0,0,0.0,0.0
45,0,0,0,0.0,0.0
46,0,0,0,0.0,0.0
47,0,0,0,0.0,0.0
48,0,0,0,0.0,0.0
49,1,0,0,0.0,0.0
