,Condition,Response,Correct_Response,Result,note_difference
0,0,2,2,correct,44.0
1,1,1,1,correct,44.0
2,1,1,1,correct,31.11269837220809
3,1,1,1,correct,31.11269837220809
4,0,2,2,correct,21.999999999999996
5,0,2,2,correct,21.999999999999996
6,1,1,1,correct,15.556349186104041
7,1,1,1,correct,15.556349186104041
8,0,2,2,correct,10.999999999999996
9,0,2,2,correct,10.999999999999996
10,1,1,1,correct,7.77817459305202
11,0,2,2,correct,7.77817459305202
12,0,2,2,correct,5.499999999999997
13,1,1,1,correct,5.499999999999997
14,0,2,2,correct,3.889087296526009
15,0,2,2,correct,3.889087296526009
16,1,1,1,correct,2.7499999999999982
17,1,1,1,correct,2.7499999999999982
18,0,1,2,wrong,1.9445436482630043
19,0,1,2,wrong,2.7499999999999982
20,1,2,1,wrong,3.889087296526009
21,1,1,1,correct,5.499999999999997
22,1,1,1,correct,5.499999999999997
23,1,1,1,correct,3.889087296526009
24,1,1,1,correct,3.889087296526009
25,0,2,2,correct,2.7499999999999982
26,0,2,2,correct,2.7499999999999982
27,1,1,1,correct,1.9445436482630043
28,0,1,2,wrong,1.9445436482630043
29,0,0,0,0.0,0.0
30,0,0,0,0.0,0.0
31,0,0,0,0.0,0.0
32,1,0,0,0.0,0.0
33,0,0,0,0.0,0.0
34,0,0,0,0.0,0.0
35,0,0,0,0.0,0.0
36,1,0,0,0.0,0.0
37,0,0,0,0.0,0.0
38,1,0,0,0.0,0.0
39,0,0,0,0.0,0.0
40,0,0,0,0.0,0.0
41,1,0,0,0.0,0.0
42,0,0,0,0.0,0.0
43,0,0,0,0.0,0.0
44,0,0,0,0.0,0.0
45,0,0,0,0.0,0.0
46,0,0,0,0.0,0.0
47,1,0,0,0.0,0.0
48,1,0,0,0.0,0.0
49,1,0,0,0.0,0.0
